N,scor_ijk,scor_jik,scor_kij,scor_kji,scor_ikj,scor_jki,scor_block,timp_ijk,timp_jik,timp_kij,timp_kji,timp_ikj,timp_jki,timp_block,block_size
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.248417,1.823298,1.206017,1.829372,1.866038,1.237432,1.964147,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.330912,1.975567,1.394450,2.009226,2.041947,1.398593,2.113514,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.378853,1.989928,1.399777,2.025819,1.954018,1.295477,1.992241,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.398602,1.993230,1.362546,2.057792,1.918780,1.315696,2.012684,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.388784,2.003216,1.363513,2.022813,1.876954,1.351928,2.130707,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.357292,1.972201,1.343164,1.977038,1.890902,1.348863,2.046741,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.353563,1.920118,1.359371,2.049961,1.946186,1.255881,1.941716,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.363283,1.975426,1.341775,1.965181,1.968796,1.295531,2.002296,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.373276,1.921215,1.318234,1.901487,1.864497,1.298252,1.977712,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.368955,1.994015,1.295765,1.905758,1.952430,1.362164,2.179926,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.403906,1.909094,1.342125,1.916416,1.913507,1.359380,2.036423,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.355972,2.008621,1.288685,1.922847,1.944026,1.311404,1.995698,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.389712,1.927059,1.310736,1.924091,1.973429,1.294259,1.986475,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.398727,1.896361,1.332007,1.958331,1.947056,1.320694,2.135280,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.336329,1.946252,1.305300,1.993791,1.945604,1.339116,2.068187,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.351912,1.947572,1.278080,2.025507,1.929976,1.308126,1.991869,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.400618,1.917001,1.327459,1.979362,1.935660,1.342535,2.040935,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.360466,1.923270,1.344399,2.081101,1.951864,1.369927,2.079628,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.321369,1.917409,1.348245,2.022128,1.922197,1.361594,2.099339,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.308986,1.917497,1.345441,2.023852,1.908380,1.372551,2.173684,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.374295,1.964871,1.368909,2.015340,1.916271,1.421231,2.222814,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.430924,2.022406,1.321285,2.050323,1.881418,1.323683,2.033987,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.376827,2.052096,1.389282,1.953048,1.911486,1.389286,2.171675,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.324990,1.946348,1.399116,2.070274,1.947468,1.386804,2.150496,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.324842,1.952628,1.409374,2.136000,1.939338,1.387148,2.222151,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.364603,2.037082,1.411327,2.021590,1.932492,1.335352,2.078898,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.407650,2.005609,1.326112,2.013848,1.893023,1.385178,2.208764,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.384970,1.981905,1.363917,1.992793,1.993938,1.400926,2.128304,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.423643,2.086540,1.337505,2.112428,2.008927,1.405393,2.225896,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.418103,1.944367,1.349869,1.956521,2.015251,1.362234,2.073938,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.408686,1.950586,1.376382,2.088240,1.929687,1.386137,2.162133,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.414195,1.941661,1.378623,1.961472,1.871597,1.384707,2.111048,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.405616,1.983100,1.367028,1.933108,1.843534,1.393619,2.195503,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.304875,2.017574,1.353768,1.935807,1.802005,1.352945,2.171849,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.345619,1.964839,1.342103,1.932296,1.803124,1.332701,2.141590,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.379963,2.016055,1.390131,2.032664,1.807517,1.308642,2.121491,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.329601,2.003994,1.386486,2.004878,1.809543,1.331343,2.133961,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.354581,1.997743,1.376586,2.011786,1.877982,1.337042,2.137478,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.349104,2.002132,1.369526,1.992859,1.810765,1.326809,2.130556,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.337120,2.003794,1.370087,1.994221,1.823660,1.324312,2.136518,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.380605,2.001297,1.376627,1.975313,1.837491,1.344063,2.122928,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.429506,1.993685,1.385196,1.922075,1.921223,1.328605,2.124658,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.340175,1.917012,1.336031,1.958472,1.929545,1.338018,2.134395,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.332412,1.930362,1.305252,1.996922,1.929973,1.336173,2.046740,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.343966,1.923947,1.283780,2.021538,1.908053,1.323945,2.027010,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.377888,1.919999,1.309963,2.014933,1.885517,1.311491,1.998785,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.377254,1.932486,1.307133,1.936673,1.940419,1.351158,2.126669,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.391072,1.941067,1.390763,1.999724,1.863013,1.380764,2.194265,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.329054,1.963687,1.376985,1.920348,1.850260,1.390720,2.214684,128
