N,scor_ijk,scor_jik,scor_kij,scor_kji,scor_ikj,scor_jki,scor_block,timp_ijk,timp_jik,timp_kij,timp_kji,timp_ikj,timp_jki,timp_block,block_size
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,0.966351,1.354648,0.834197,1.117578,0.676730,0.662385,1.060790,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,0.985153,0.919757,0.591955,1.150159,0.721023,0.676611,1.189028,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.030313,1.076792,0.599110,1.096481,0.731810,1.053037,1.649062,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.317696,1.729859,1.014605,1.749079,1.265436,1.165627,1.788698,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.689044,1.685683,1.195287,1.817684,1.291574,1.328442,2.128852,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.855042,1.928729,1.133816,1.856989,1.253705,1.311391,2.105462,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.861140,1.933130,1.255887,1.863521,1.250872,1.301733,1.991321,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.809140,1.925044,1.188193,1.846172,1.248485,1.256946,1.973699,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.819333,1.809275,1.108050,1.861352,1.210330,1.310084,2.109924,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.793704,1.792798,1.228131,1.805668,1.204872,1.314473,2.029258,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.874286,1.793906,1.257687,1.878385,1.098672,1.293649,2.116673,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.757873,1.811749,1.242526,1.829638,1.171224,1.324362,2.091141,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.748299,1.819278,1.125877,1.779954,1.227570,1.290471,1.999998,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.852919,1.877447,1.158538,1.767464,1.335881,1.284388,2.049952,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.846251,1.818131,1.157442,1.756132,1.301157,1.270085,2.099234,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.906895,1.863962,1.184570,1.848380,1.271092,1.262439,2.083507,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.806905,1.906252,1.276280,1.849802,1.255951,1.266184,2.093012,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.790862,1.921536,1.293287,1.847531,1.256215,1.263211,2.064259,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.772859,1.809645,1.249970,1.810724,1.202705,1.286523,2.018121,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.801730,1.820270,1.281253,1.804954,1.207651,1.281696,2.098351,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.795128,1.816450,1.170510,1.823489,1.254231,1.277109,2.012447,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.783019,1.793511,1.149635,1.885186,1.293061,1.325449,2.086506,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.814089,1.846824,1.121029,1.875190,1.377379,1.345509,2.100768,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.818989,1.955276,1.189462,1.882272,1.389786,1.333713,2.036921,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.756132,1.831738,1.225786,1.872313,1.288685,1.349814,2.037458,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.812620,1.820266,1.111883,1.840278,1.367597,1.331729,2.148537,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.801749,1.911930,1.136493,1.853433,1.289066,1.280790,2.096596,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.879619,1.841070,1.078272,1.829012,1.402156,1.303711,2.012326,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.815609,1.950762,1.150986,1.850288,1.326298,1.282176,2.050500,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.899655,1.984976,1.133508,1.879201,1.249616,1.336676,2.111781,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.941863,1.885582,1.124003,1.865716,1.308972,1.332120,2.153456,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.787663,1.808436,1.123821,1.831326,1.233138,1.328338,2.041305,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.940120,1.931030,1.189260,1.793675,1.346315,1.291005,2.031411,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.942059,1.959865,1.125355,1.893245,1.235550,1.333436,2.032996,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.810810,1.869846,1.177913,1.926269,1.196271,1.332468,2.042417,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.721192,1.836038,1.157962,1.859351,1.399952,1.272403,1.982108,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.845023,1.873328,1.122752,1.956962,1.355208,1.324591,1.997807,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.781402,1.795564,1.114357,1.837733,1.266345,1.326502,2.041573,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.851614,1.815789,1.092731,1.753183,1.372002,1.260313,2.075585,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.822738,1.808232,1.079121,1.740710,1.302230,1.274172,2.106209,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.780819,1.785245,1.127900,1.766109,1.234438,1.307050,2.126130,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.782412,1.812140,1.163739,1.815354,1.434066,1.312261,2.138351,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.860052,1.828297,1.143996,1.819798,1.433652,1.306145,2.123087,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.851896,1.837715,1.139213,1.810191,1.391273,1.297567,2.088796,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.882566,1.813244,1.139814,1.782694,1.447203,1.291262,2.090854,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.862290,1.832639,1.115809,1.792792,1.381338,1.298536,2.092465,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.806741,1.899845,1.103732,1.841439,1.328142,1.302599,2.104956,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.802702,1.863064,1.253675,1.863195,1.308216,1.292879,1.970892,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.768435,1.799256,1.247328,1.791037,1.239743,1.288127,1.968118,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.766732,1.805225,1.254728,1.801178,1.190785,1.283115,2.035438,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.769345,1.791543,1.286307,1.785546,1.230855,1.272856,2.093896,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.777261,1.797218,1.223077,1.772444,1.332334,1.270862,2.058656,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.776593,1.789402,1.103167,1.776481,1.282150,1.308416,2.099381,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.874314,1.770411,1.170878,1.841229,1.375386,1.282100,1.959556,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.771380,1.800669,1.095461,1.781395,1.337844,1.290458,2.037806,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.768612,1.797951,1.094750,1.768274,1.334954,1.249106,2.060324,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.773669,1.776209,1.139842,1.747586,1.188241,1.320157,2.131038,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.763212,1.786063,1.218891,1.764726,1.203716,1.261878,2.079798,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.735612,1.798238,1.128454,1.743348,1.206831,1.259530,1.976675,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.768669,1.854865,1.155285,1.708764,1.368669,1.254767,1.947405,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.842378,1.842182,1.152685,1.730736,1.411750,1.274165,2.015887,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.857636,1.804269,1.170626,1.753483,1.396540,1.285418,2.089130,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.861586,1.810267,1.171564,1.786436,1.448984,1.294974,2.097537,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.864692,1.833190,1.193208,1.788087,1.418897,1.290277,2.085004,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.874333,1.805853,1.188536,1.807629,1.439375,1.298655,2.100339,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.861919,1.813078,1.162207,1.825365,1.452915,1.310864,2.116902,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.855740,1.804787,1.171582,1.806120,1.448854,1.308641,2.122380,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.864776,1.803192,1.170005,1.807151,1.454619,1.308485,2.127173,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.844909,1.807967,1.166910,1.843850,1.439533,1.314487,2.128653,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.829620,1.825549,1.144071,1.851899,1.407901,1.304173,2.006508,128
