N,scor_ijk,scor_jik,scor_kij,scor_kji,scor_ikj,scor_jki,scor_block,timp_ijk,timp_jik,timp_kij,timp_kji,timp_ikj,timp_jki,timp_block,block_size
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.069414,1.199796,1.111631,1.959840,1.705581,1.874403,2.580412,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.095609,1.173254,1.147182,2.244698,1.772007,2.128024,2.837531,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.220540,1.233486,1.296043,2.102114,1.865029,1.996151,2.796753,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.152470,1.280481,1.242515,2.068330,1.804921,1.958482,2.738719,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.162442,1.333346,1.254634,2.081477,1.810046,1.951991,2.690229,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.153461,1.300863,1.255378,2.172575,1.759111,2.113037,2.814138,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.119442,1.319351,1.216384,2.657383,1.811701,2.043607,2.748592,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.131805,1.281272,1.260510,2.014317,1.783215,2.759621,3.533878,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.207459,1.206455,1.240006,2.014937,1.778680,2.744431,3.547399,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.132939,1.231745,1.234201,2.309623,1.782389,1.968376,2.664969,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.227693,1.157788,1.212459,2.046771,1.840665,2.707578,3.478475,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.142981,1.230757,1.203718,2.316986,1.781627,2.019506,2.712109,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.240197,1.165444,1.226357,2.028026,1.760602,1.960837,2.639405,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.211144,1.214314,1.215552,2.028977,1.771327,1.942997,2.624466,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.132354,1.295392,1.207739,2.149766,1.844010,2.349774,3.037697,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.140553,1.190447,1.235780,2.023055,1.867894,2.321516,3.013869,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.142103,1.179744,1.241646,2.071207,1.792047,1.936207,2.616538,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.132096,1.265863,1.211145,2.028597,1.839847,1.918774,2.733500,128
